y_0,distance_to_courthouse,cost,TE_per_dollar,spending,is_majority_group,is_target_group,costs_majority,costs_target,per_person_spending_majority,per_person_spending_target
0.7285831893060633,0.1625101498239494,1.625101498239494,0.1670152978063021,1.625101498239494,TRUE,FALSE,1.625101498239494,0,0.00048772553968772327,0
0.7407354105994052,0.1625101498239494,1.625101498239494,0.15953747484785505,3.250202996478988,TRUE,FALSE,1.625101498239494,0,9.754510793754465e-4,0
0.7439116575497966,0.1625101498239494,1.625101498239494,0.157582983418346,4.875304494718482,FALSE,FALSE,0,0,9.754510793754465e-4,0
0.7779524016907267,0.1625101498239494,1.625101498239494,0.13663614152705053,6.500405992957976,FALSE,FALSE,0,0,9.754510793754465e-4,0
0.7823967835557222,0.1625101498239494,1.625101498239494,0.133901308121377,8.125507491197471,TRUE,FALSE,1.625101498239494,0,0.00146317661906317,0
0.7872683018975745,0.1625101498239494,1.625101498239494,0.13090363791608228,9.750608989436964,FALSE,FALSE,0,0,0.00146317661906317,0
0.7942866520308061,0.1625101498239494,1.625101498239494,0.12658492296760995,11.375710487676457,FALSE,FALSE,0,0,0.00146317661906317,0
0.7973181863878654,0.1625101498239494,1.625101498239494,0.12471947987968995,13.000811985915952,FALSE,FALSE,0,0,0.00146317661906317,0
0.8003179604169848,0.1625101498239494,1.625101498239494,0.12287358038826181,14.625913484155447,TRUE,FALSE,1.625101498239494,0,0.001950902158750893,0
0.8004184651221742,0.1625101498239494,1.625101498239494,0.12281173520179296,16.251014982394942,TRUE,FALSE,1.625101498239494,0,0.002438627698438617,0
0.8006630838450144,0.1625101498239494,1.625101498239494,0.1226612100049944,17.876116480634433,TRUE,FALSE,1.625101498239494,0,0.00292635323812634,0
0.8039807502411586,0.1625101498239494,1.625101498239494,0.12061969665968132,19.501217978873928,FALSE,FALSE,0,0,0.00292635323812634,0
0.8040868272800573,0.1625101498239494,1.625101498239494,0.12055442255894755,21.126319477113423,FALSE,FALSE,0,0,0.00292635323812634,0
0.8061463935729032,0.1625101498239494,1.625101498239494,0.11928707630698909,22.751420975352914,FALSE,FALSE,0,0,0.00292635323812634,0
0.8086296196505516,0.1625101498239494,1.625101498239494,0.11775903262458616,24.37652247359241,FALSE,FALSE,0,0,0.00292635323812634,0
0.8097097417390426,0.1625101498239494,1.625101498239494,0.11709438362287078,26.001623971831904,FALSE,FALSE,0,0,0.00292635323812634,0
0.810068934661477,0.1625101498239494,1.625101498239494,0.11687335562995867,27.6267254700714,FALSE,FALSE,0,0,0.00292635323812634,0
0.8111131874993313,0.1625101498239494,1.625101498239494,0.11623077863462296,29.251826968310894,TRUE,FALSE,1.625101498239494,0,0.003414078777814063,0
0.8112436478642702,0.1625101498239494,1.625101498239494,0.11615050034734048,30.876928466550385,FALSE,FALSE,0,0,0.003414078777814063,0
0.8121527384544845,0.1625101498239494,1.625101498239494,0.11559109492484886,32.502029964789884,FALSE,FALSE,0,0,0.003414078777814063,0
0.8146943945425348,0.1625101498239494,1.625101498239494,0.11402709655871376,34.12713146302937,FALSE,FALSE,0,0,0.003414078777814063,0
0.8149823147255257,0.1625101498239494,1.625101498239494,0.11384992597379776,35.75223296126887,FALSE,FALSE,0,0,0.003414078777814063,0
0.815474957249192,0.1625101498239494,1.625101498239494,0.11354678027846744,37.37733445950836,FALSE,FALSE,0,0,0.003414078777814063,0
0.8154934321861345,0.1625101498239494,1.625101498239494,0.11353541179658336,39.002435957747856,FALSE,FALSE,0,0,0.003414078777814063,0
0.8162400827297722,0.1625101498239494,1.625101498239494,0.11307596323632631,40.62753745598735,FALSE,FALSE,0,0,0.003414078777814063,0
0.8173391101834151,0.1625101498239494,1.625101498239494,0.11239968089037222,42.252638954226846,FALSE,FALSE,0,0,0.003414078777814063,0
0.8178028571102025,0.1625101498239494,1.625101498239494,0.11211431599021687,43.87774045246634,FALSE,FALSE,0,0,0.003414078777814063,0
0.8184807129766254,0.1625101498239494,1.625101498239494,0.11169719997182834,45.50284195070583,TRUE,FALSE,1.625101498239494,0,0.003901804317501786,0
0.8184811055960397,0.1625101498239494,1.625101498239494,0.11169695837497132,47.127943448945324,TRUE,FALSE,1.625101498239494,0,0.00438952985718951,0
0.8195416658092953,0.1625101498239494,1.625101498239494,0.11104434669846712,48.75304494718482,TRUE,FALSE,1.625101498239494,0,0.004877255396877234,0
0.8213966251141307,0.1625101498239494,1.625101498239494,0.10990290457510137,50.37814644542431,FALSE,FALSE,0,0,0.004877255396877234,0
0.8246672242650139,0.1625101498239494,1.625101498239494,0.10789035387939011,52.00324794366381,FALSE,FALSE,0,0,0.004877255396877234,0
0.825116347115673,0.1625101498239494,1.625101498239494,0.10761398784862485,53.6283494419033,FALSE,FALSE,0,0,0.004877255396877234,0
0.825116347115673,0.1625101498239494,1.625101498239494,0.10761398784862485,55.2534509401428,FALSE,FALSE,0,0,0.004877255396877234,0
0.8252873275544517,0.1625101498239494,1.625101498239494,0.10750877568866815,56.87855243838229,TRUE,FALSE,1.625101498239494,0,0.005364980936564956,0
0.8255915718706308,0.1625101498239494,1.625101498239494,0.10732156011074351,58.50365393662179,TRUE,FALSE,1.625101498239494,0,0.00585270647625268,0
0.8260118720929724,0.1625101498239494,1.625101498239494,0.10706292997422774,60.128755434861276,FALSE,FALSE,0,0,0.00585270647625268,0
0.8262791400459341,0.1625101498239494,1.625101498239494,0.10689846766018084,61.75385693310077,FALSE,FALSE,0,0,0.00585270647625268,0
